partner_id,city,joining_date,accident_history,id_blocked,churned
P2098,Bangalore,2024-11-19,No,No,Yes
P2099,Bangalore,2022-03-18,No,No,No
P2100,Delhi,2024-10-21,No,Yes,No
P2101,Mumbai,2024-10-23,No,No,No
P2102,Mumbai,2022-11-26,No,No,No
P2103,Mumbai,2024-09-17,No,No,No
P2104,Bangalore,2022-04-30,Yes,No,No
P2105,Mumbai,2023-03-14,No,No,No
P2106,Mumbai,2024-07-28,No,No,No
P2107,Delhi,2024-12-12,No,No,No
P2108,Mumbai,2024-02-18,No,No,No
P2109,Mumbai,2022-10-23,No,No,No
P2110,Mumbai,2022-11-20,No,No,Yes
P2111,Delhi,2023-09-20,Yes,No,No
P2112,Bangalore,2024-04-19,No,No,No
P2113,Delhi,2023-09-17,No,No,No
P2114,Mumbai,2024-02-24,No,No,No
P2115,Mumbai,2023-08-06,Yes,No,Yes
P2116,Delhi,2024-02-15,No,No,No
P2117,Hyderabad,2024-11-06,No,No,No
P2118,Hyderabad,2024-02-04,No,No,Yes
P2119,Mumbai,2024-10-23,No,No,No
P2120,Mumbai,2024-08-20,No,No,Yes
P2121,Bangalore,2024-11-19,No,No,No
P2122,Hyderabad,2022-11-30,No,No,No
P2123,Delhi,2022-07-11,No,Yes,No
P2124,Bangalore,2024-03-03,No,No,Yes
P2125,Hyderabad,2022-08-28,No,No,No
P2126,Delhi,2022-08-07,No,No,No
P2127,Hyderabad,2023-12-21,No,No,No
P2128,Mumbai,2023-10-07,No,No,No
P2129,Mumbai,2022-05-30,No,No,No
P2130,Mumbai,2023-10-30,No,No,No
P2131,Mumbai,2023-02-16,No,No,Yes
P2132,Hyderabad,2022-03-27,No,No,No
P2133,Mumbai,2024-03-04,No,No,No
P2134,Bangalore,2024-05-27,Yes,No,No
P2135,Mumbai,2024-08-21,No,No,No
P2136,Delhi,2022-01-06,No,No,No
P2137,Delhi,2024-06-15,No,No,No
P2138,Mumbai,2022-10-01,No,No,No
P2139,Delhi,2023-05-03,No,No,Yes
P2140,Delhi,2023-12-08,No,No,No
P2141,Mumbai,2024-09-06,No,No,No
P2142,Bangalore,2024-09-09,No,No,No
P2143,Mumbai,2024-04-24,No,No,Yes
P2144,Mumbai,2024-12-12,Yes,Yes,Yes
P2145,Delhi,2023-04-22,No,No,No
P2146,Delhi,2022-09-09,No,No,No
P2147,Mumbai,2023-03-11,No,No,No
P2148,Hyderabad,2024-01-16,No,No,No
P2149,Bangalore,2022-10-19,No,No,No
P2150,Mumbai,2023-09-19,No,No,No
P2151,Delhi,2023-12-26,No,No,No
P2152,Mumbai,2024-02-07,No,No,No
P2153,Delhi,2023-08-15,No,No,Yes
P2154,Mumbai,2022-10-24,No,No,No
P2155,Delhi,2023-06-05,Yes,No,Yes
P2156,Hyderabad,2022-03-07,No,No,No
P2157,Delhi,2023-06-17,No,No,No
P2158,Bangalore,2022-09-16,No,No,No
P2159,Delhi,2023-11-18,No,No,No
P2160,Bangalore,2023-05-07,No,No,No
P2161,Mumbai,2022-03-19,No,No,No
P2162,Bangalore,2024-02-16,No,No,No
P2163,Hyderabad,2022-03-06,No,No,Yes
P2164,Delhi,2022-01-11,No,No,No
P2165,Mumbai,2024-05-23,Yes,No,No
P2166,Bangalore,2023-09-25,No,No,No
P2167,Bangalore,2024-05-31,No,No,No
P2168,Bangalore,2023-02-22,No,No,No
P2169,Mumbai,2022-02-01,Yes,No,No
P2170,Hyderabad,2024-06-26,No,No,Yes
P2171,Hyderabad,2024-11-21,Yes,No,No
P2172,Delhi,2024-09-23,No,No,No
P2173,Delhi,2024-03-12,No,No,No
P2174,Mumbai,2022-09-23,No,No,Yes
P2175,Hyderabad,2024-01-04,No,No,No
P2176,Bangalore,2024-04-26,No,No,No
P2177,Delhi,2022-03-08,No,No,No
P2178,Bangalore,2022-07-23,No,No,Yes
P2179,Mumbai,2023-04-28,No,No,No
P2180,Mumbai,2023-12-05,No,No,No
P2181,Mumbai,2022-05-14,No,Yes,No
P2182,Delhi,2023-03-20,No,No,Yes
P2183,Mumbai,2022-02-20,Yes,No,No
P2184,Hyderabad,2024-05-30,No,No,No
P2185,Delhi,2024-02-13,No,Yes,Yes
P2186,Delhi,2024-05-31,No,Yes,No
P2187,Mumbai,2022-05-05,No,Yes,No
P2188,Bangalore,2022-05-05,No,No,No
P2189,Bangalore,2022-01-23,No,No,No
P2190,Delhi,2023-01-24,No,No,Yes
P2191,Mumbai,2023-07-18,No,No,No
P2192,Bangalore,2024-06-25,No,No,No
P2193,Mumbai,2024-11-06,No,No,No
P2194,Bangalore,2023-04-26,Yes,No,No
P2195,Delhi,2023-09-20,Yes,No,No
P2196,Mumbai,2023-10-22,No,No,Yes
P2197,Delhi,2024-02-26,No,No,No
P2198,Delhi,2024-07-29,No,No,Yes
P2199,Mumbai,2023-12-24,No,Yes,No
P2200,Bangalore,2024-10-21,No,No,No
P2201,Delhi,2024-10-14,No,No,No
P2202,Hyderabad,2024-12-05,No,No,No
P2203,Bangalore,2022-10-05,No,No,No
P2204,Mumbai,2024-02-24,No,Yes,No
P2205,Delhi,2022-06-24,No,No,No
P2206,Mumbai,2023-04-12,No,Yes,No
P2207,Bangalore,2024-10-04,No,No,No
P2208,Delhi,2024-10-10,No,No,Yes
P2209,Delhi,2023-08-25,No,No,No
P2210,Hyderabad,2023-08-24,No,No,No
P2211,Mumbai,2023-07-06,No,No,No
P2212,Delhi,2024-09-01,No,No,Yes
P2213,Mumbai,2024-11-29,No,No,No
P2214,Mumbai,2023-03-12,No,No,No
P2215,Bangalore,2024-01-24,No,Yes,No
P2216,Delhi,2024-02-10,No,No,No
P2217,Hyderabad,2023-05-18,No,No,No
P2218,Delhi,2022-07-29,No,No,No
P2219,Mumbai,2023-11-28,No,No,No
P2220,Hyderabad,2023-10-04,No,No,Yes
P2221,Mumbai,2023-05-10,No,No,No
P2222,Mumbai,2022-08-31,No,No,No
P2223,Bangalore,2024-11-20,No,No,No
P2224,Delhi,2022-11-26,No,No,No
P2225,Delhi,2024-01-23,No,No,No
P2226,Hyderabad,2024-04-16,Yes,No,No
P2227,Mumbai,2022-10-29,No,No,No
P2228,Hyderabad,2023-09-05,No,No,Yes
P2229,Delhi,2022-03-22,Yes,No,Yes
P2230,Mumbai,2024-12-29,Yes,No,No
P2231,Mumbai,2023-11-11,No,No,No
P2232,Mumbai,2022-08-07,No,No,No
P2233,Hyderabad,2022-12-19,No,No,No
P2234,Delhi,2024-03-26,No,No,No
P2235,Mumbai,2024-06-26,No,No,No
P2236,Mumbai,2024-05-15,No,No,No
P2237,Hyderabad,2024-03-16,No,No,No
P2238,Mumbai,2022-11-07,No,No,No
P2239,Bangalore,2024-07-11,No,No,Yes
P2240,Mumbai,2024-09-07,No,No,No
P2241,Hyderabad,2024-04-30,No,No,No
P2242,Delhi,2022-04-23,No,No,No
P2243,Mumbai,2023-10-04,No,No,No
P2244,Hyderabad,2024-04-22,No,No,No
P2245,Delhi,2024-10-20,No,No,Yes
P2246,Bangalore,2022-07-22,No,No,No
P2247,Delhi,2023-07-15,No,No,No
P2248,Mumbai,2024-10-23,No,No,Yes
P2249,Mumbai,2024-09-26,No,No,No
P2250,Mumbai,2022-06-09,No,No,Yes
P2251,Mumbai,2023-03-10,No,Yes,No
P2252,Mumbai,2023-11-17,No,No,Yes
P2253,Mumbai,2024-02-01,No,No,No
P2254,Hyderabad,2024-06-21,No,No,No
P2255,Mumbai,2023-10-25,No,No,No
P2256,Delhi,2024-07-02,No,Yes,No
P2257,Mumbai,2023-06-28,No,No,No
P2258,Mumbai,2024-10-18,No,No,No
P2259,Bangalore,2022-11-11,No,No,No
P2260,Hyderabad,2023-02-27,No,No,No
P2261,Delhi,2024-01-21,No,No,No
P2262,Mumbai,2023-01-20,No,Yes,No
P2263,Hyderabad,2024-03-10,No,No,No
P2264,Mumbai,2024-03-02,No,No,No
P2265,Delhi,2024-10-28,No,No,Yes
P2266,Delhi,2023-04-29,No,No,No
P2267,Hyderabad,2022-09-08,No,No,No
P2268,Bangalore,2024-08-02,No,No,Yes
P2269,Delhi,2023-02-09,No,No,No
P2270,Delhi,2022-07-12,No,No,No
P2271,Bangalore,2024-04-07,No,No,Yes
P2272,Hyderabad,2022-07-18,No,No,No
P2273,Hyderabad,2022-06-12,No,No,No
P2274,Bangalore,2023-08-13,No,No,Yes
P2275,Mumbai,2023-01-01,No,No,No
P2276,Mumbai,2024-11-18,No,No,No
P2277,Delhi,2024-10-14,No,Yes,No
P2278,Delhi,2022-10-31,No,No,Yes
P2279,Bangalore,2022-05-29,No,Yes,Yes
P2280,Mumbai,2024-09-09,No,No,Yes
P2281,Bangalore,2022-03-29,Yes,No,No
P2282,Delhi,2023-06-11,No,No,No
P2283,Bangalore,2022-05-16,No,No,No
P2284,Mumbai,2022-11-14,No,No,No
P2285,Delhi,2022-11-24,No,No,No
P2286,Mumbai,2022-02-05,Yes,No,No
P2287,Mumbai,2023-03-25,No,No,No
P2288,Hyderabad,2023-02-10,No,No,No
P2289,Mumbai,2023-11-29,No,No,No
P2290,Hyderabad,2024-05-30,No,No,No
P2291,Delhi,2022-05-18,No,No,No
P2292,Mumbai,2023-10-04,No,Yes,Yes
P2293,Bangalore,2024-07-05,No,No,No
P2294,Mumbai,2022-01-17,No,No,No
P2295,Bangalore,2023-10-18,No,No,No
P2296,Mumbai,2023-05-10,No,No,No
P2297,Bangalore,2023-09-26,No,No,No
P2298,Mumbai,2024-11-25,No,No,No
P2299,Mumbai,2024-08-20,No,No,No
