order_id,store_id,city,partner_id,promised_time_min,actual_time_min,distance_one_way_km,distance_return_km,delay_reason
O50084,S115,Hyderabad,P2164,32.0,51,7.18,5.36,Partner Late
O50085,S119,Mumbai,P2100,30.0,41,1.53,1.56,Store Delay
O50086,S137,Mumbai,P2203,15.0,12,5.02,3.63,
O50087,S122,Mumbai,P2031,21.0,22,2.78,2.09,Traffic
O50088,S120,Delhi,P2204,34.0,49,7.51,7.79,Store Delay
O50089,S118,Hyderabad,P2102,23.0,40,0.5,0.35,Store Delay
O50090,S121,Hyderabad,P2004,27.0,22,7.11,6.26,
O50091,S112,Delhi,P2221,39.0,39,5.52,4.25,
O50092,S138,Delhi,P2061,27.0,28,3.89,3.42,Store Delay
O50093,S136,Bangalore,P2243,26.0,18,2.44,1.85,
O50094,S116,Mumbai,P2111,28.0,46,4.49,3.76,System Issue
O50095,S137,Mumbai,P2104,26.0,38,3.33,2.51,Store Delay
O50096,S110,Bangalore,P2189,38.0,39,3.0,2.54,System Issue
O50097,S110,Bangalore,P2205,18.0,14,0.66,0.55,
O50098,S103,Bangalore,P2203,33.0,34,3.29,2.68,Traffic
O50099,S124,Hyderabad,P2275,20.0,21,4.0,3.7,Traffic
O50100,S107,Mumbai,P2263,36.0,42,0.53,0.39,Store Delay
O50101,S112,Delhi,P2011,19.0,40,5.26,4.59,Store Delay
O50102,S116,Mumbai,P2271,25.0,34,1.2,1.12,Traffic
O50103,S131,Delhi,P2144,36.0,52,5.1,3.73,Traffic
O50104,S120,Delhi,P2280,23.0,21,2.29,2.11,
O50105,S120,Delhi,P2180,18.0,27,1.77,1.74,Weather
O50106,S100,Mumbai,P2157,30.0,25,6.55,6.75,
O50107,S111,Bangalore,P2016,29.0,21,5.49,4.42,
O50108,S129,Delhi,P2079,36.0,30,7.41,5.51,
O50109,S139,Mumbai,P2001,35.0,37,2.4,1.7,Traffic
O50110,S132,Delhi,P2131,18.0,-10,7.87,6.58,Store Delay
O50111,S124,Hyderabad,P2261,18.0,25,5.46,4.06,Store Delay
O50112,S111,Bangalore,P2023,25.0,25,6.07,5.62,
O50113,S103,Bangalore,P2276,24.0,28,3.44,3.72,Store Delay
O50114,S128,Bangalore,P2263,25.0,33,1.34,1.44,Traffic
O50115,S103,Bangalore,P2207,32.0,36,3.65,3.92,Traffic
O50116,S136,Bangalore,P2134,32.0,43,2.94,2.93,Traffic
O50117,S132,Delhi,P2035,32.0,42,2.33,2.34,Partner Late
O50118,S104,Hyderabad,P2290,26.0,38,1.42,1.25,
O50119,S114,Mumbai,P2224,28.0,32,2.09,1.8,Partner Late
O50120,S112,Delhi,P2067,28.0,29,6.69,6.62,Traffic
O50121,S130,Mumbai,P2180,31.0,48,6.04,5.99,Traffic
O50122,S113,Mumbai,P2235,26.0,44,6.26,5.2,Store Delay
O50123,S136,Bangalore,P2133,16.0,27,0.9,0.88,Traffic
O50124,S105,Delhi,P2061,37.0,40,5.38,4.1,Store Delay
O50125,S102,Delhi,P2034,23.0,16,5.96,6.44,
O50126,S124,Hyderabad,P2144,33.0,30,2.68,2.42,
O50127,S126,Delhi,P2179,15.0,10,3.14,2.44,
O50128,S110,Bangalore,P2102,16.0,18,4.61,3.51,Partner Late
O50129,S113,Mumbai,P2108,37.0,40,6.4,5.14,Traffic
O50130,S130,Mumbai,P2242,17.0,12,2.92,2.37,
O50131,S135,Bangalore,P2207,33.0,41,6.31,5.35,Partner Late
O50132,S115,Hyderabad,P2046,24.0,26,6.18,6.12,Traffic
O50133,S118,Hyderabad,P2291,27.0,22,6.36,4.69,
O50134,S124,Hyderabad,P2260,21.0,23,1.16,1.22,Store Delay
O50135,S102,Delhi,P2135,25.0,26,3.6,3.24,Traffic
O50136,S139,Mumbai,P2172,28.0,40,5.84,5.27,Partner Late
O50137,S134,Delhi,P2070,16.0,14,4.07,3.79,
O50138,S121,Hyderabad,P2012,24.0,15,5.98,4.25,
O50139,S105,Delhi,P2015,26.0,35,7.13,6.23,Partner Late
O50140,S139,Mumbai,P2064,24.0,30,6.51,5.75,Traffic
O50141,S108,Mumbai,P2119,37.0,30,5.8,5.17,
O50142,S116,Mumbai,P2142,37.0,39,2.5,2.57,Store Delay
O50143,S105,Delhi,P2071,,23,6.55,7.11,
O50144,S116,Mumbai,P2216,38.0,36,0.83,0.61,
O50145,S112,Delhi,P2024,15.0,39,6.71,5.09,Partner Late
O50146,S129,Delhi,P2196,28.0,31,3.49,2.95,Store Delay
O50147,S123,Delhi,P2105,15.0,25,3.99,3.74,Partner Late
O50148,S134,Delhi,P2075,17.0,17,3.78,3.79,
O50149,S130,Mumbai,P2156,15.0,12,2.84,2.6,
O50150,S124,Hyderabad,P2236,33.0,49,2.99,2.28,Traffic
O50151,S105,Delhi,P2101,18.0,31,5.62,4.54,
O50152,S133,Delhi,P2093,31.0,35,5.21,4.62,Traffic
O50153,S119,Mumbai,P2001,30.0,30,2.8,2.17,
O50154,S121,Hyderabad,P2121,38.0,50,6.17,6.34,Partner Late
O50155,S103,Bangalore,P2127,21.0,46,5.53,5.19,Traffic
O50156,S127,Bangalore,P2149,17.0,23,6.17,6.62,Partner Late
O50157,S119,Mumbai,P2268,15.0,33,2.34,1.78,Traffic
O50158,S117,Delhi,P2289,29.0,26,6.7,5.37,
O50159,S118,Hyderabad,P2136,25.0,23,1.78,1.33,
O50160,S108,Mumbai,P2014,26.0,42,7.75,8.24,Partner Late
O50161,S108,Mumbai,P2091,27.0,36,7.57,7.59,Partner Late
O50162,S102,Delhi,P2101,17.0,20,6.43,4.66,Store Delay
O50163,S110,Bangalore,P2136,18.0,14,1.02,0.94,
O50164,S130,Mumbai,P2153,35.0,44,1.61,1.27,Store Delay
O50165,S103,Bangalore,P2117,18.0,13,0.55,0.46,
O50166,S122,Mumbai,P2235,24.0,29,1.12,0.81,
O50167,S114,Mumbai,P2177,23.0,35,1.6,1.21,Store Delay
O50168,S128,Bangalore,P2043,30.0,25,5.75,5.89,
O50169,S113,Mumbai,P2140,18.0,27,2.41,2.57,Traffic
O50170,S108,Mumbai,P2067,23.0,27,3.06,3.16,System Issue
O50171,S133,Delhi,P2116,34.0,36,6.87,5.74,Traffic
O50172,S135,Bangalore,P2030,39.0,43,1.15,1.22,Traffic
O50173,S100,Mumbai,P2075,20.0,24,7.83,6.07,Partner Late
O50174,S133,Delhi,P2110,21.0,14,2.17,1.74,
O50175,S134,Delhi,P2193,31.0,39,4.33,3.29,Store Delay
O50176,S125,Mumbai,P2063,26.0,31,4.32,4.05,Store Delay
O50177,S113,Mumbai,P2225,19.0,22,2.26,2.02,Traffic
O50178,S119,Mumbai,P2219,23.0,27,5.15,3.81,Weather
O50179,S111,Bangalore,P2015,19.0,26,4.95,4.78,Store Delay
O50180,S103,Bangalore,P2026,35.0,46,4.32,4.41,Traffic
O50181,S139,Mumbai,P2195,35.0,31,3.06,3.16,
O50182,S137,Mumbai,P2217,38.0,48,7.33,6.63,Traffic
O50183,S106,Delhi,P2243,19.0,22,3.29,3.14,Partner Late
O50184,S134,Delhi,P2273,28.0,39,6.99,5.55,Partner Late
O50185,S133,Delhi,P2136,15.0,12,0.7,0.71,
O50186,S123,Delhi,P2167,28.0,38,6.02,4.92,Store Delay
O50187,S123,Delhi,P2087,39.0,64,6.06,4.74,Traffic
O50188,S137,Mumbai,P2077,23.0,22,4.62,3.29,
O50189,S120,Delhi,P2116,39.0,47,5.26,4.57,Store Delay
O50190,S117,Delhi,P2145,31.0,29,1.6,1.39,
O50191,S113,Mumbai,P2094,22.0,21,1.53,1.21,
O50192,S102,Delhi,P2261,21.0,31,1.67,1.54,Traffic
O50193,S134,Delhi,P2292,21.0,50,5.72,4.87,Store Delay
O50194,S130,Mumbai,P2024,35.0,43,2.44,2.02,Store Delay
O50195,S136,Bangalore,P2019,28.0,36,3.5,3.85,Traffic
O50196,S118,Hyderabad,P2262,32.0,64,5.3,4.47,System Issue
O50197,S138,Delhi,P2069,38.0,52,2.06,1.71,Partner Late
O50198,S122,Mumbai,P2071,34.0,44,2.33,2.0,Store Delay
O50199,S112,Delhi,P2189,30.0,25,5.96,5.63,
O50200,S128,Bangalore,P2218,33.0,25,5.84,4.91,
O50201,S118,Hyderabad,P2028,19.0,29,0.54,0.59,Store Delay
O50202,S120,Delhi,P2222,33.0,57,1.34,1.11,
O50203,S106,Delhi,P2008,24.0,39,5.68,5.5,Store Delay
O50204,S125,Mumbai,P2284,18.0,19,7.73,6.42,Partner Late
O50205,S104,Hyderabad,P2097,32.0,31,7.3,7.68,
O50206,S123,Delhi,P2009,28.0,41,3.11,3.35,Store Delay
O50207,S126,Delhi,P2264,15.0,10,3.97,3.81,
O50208,S112,Delhi,P2077,24.0,34,2.06,2.11,Traffic
O50209,S107,Mumbai,P2060,21.0,34,5.23,5.25,System Issue
O50210,S134,Delhi,P2008,18.0,15,4.44,3.25,
O50211,S130,Mumbai,P2147,33.0,27,5.2,4.35,
O50212,S134,Delhi,P2044,38.0,42,2.88,2.52,Traffic
O50213,S101,Bangalore,P2037,22.0,30,1.26,0.94,Traffic
O50214,S116,Mumbai,P2141,20.0,19,1.93,1.83,
O50215,S135,Bangalore,P2072,31.0,37,3.46,2.64,Weather
O50216,S107,Mumbai,P2214,37.0,35,2.03,1.5,
O50217,S100,Mumbai,P2277,30.0,38,1.7,1.29,Partner Late
O50218,S107,Mumbai,P2234,19.0,26,1.98,1.4,Weather
O50219,S116,Mumbai,P2075,35.0,38,3.8,3.81,Store Delay
O50220,S123,Delhi,P2214,25.0,27,4.16,4.49,Partner Late
O50221,S104,Hyderabad,P2272,38.0,43,5.87,4.6,Traffic
O50222,S133,Delhi,P2156,27.0,45,3.58,2.77,Store Delay
O50223,S117,Delhi,P2128,22.0,18,3.66,4.01,
O50224,S127,Bangalore,P2030,34.0,30,7.25,5.49,
O50225,S121,Hyderabad,P2037,23.0,16,1.48,1.18,
O50226,S130,Mumbai,P2116,35.0,45,1.45,1.19,System Issue
O50227,S122,Mumbai,P2255,30.0,26,7.54,6.04,
O50228,S111,Bangalore,P2080,38.0,34,6.55,6.1,
O50229,S108,Mumbai,P2247,38.0,46,2.01,1.83,Traffic
O50230,S133,Delhi,P2062,37.0,42,4.03,4.0,Traffic
O50231,S139,Mumbai,P2278,27.0,45,5.91,4.2,Store Delay
O50232,S127,Bangalore,P2115,33.0,32,4.15,3.51,
O50233,S116,Mumbai,P2217,29.0,54,3.02,2.52,Traffic
O50234,S131,Delhi,P2233,21.0,33,6.36,5.97,Traffic
O50235,S110,Bangalore,P2207,27.0,34,5.91,6.22,
O50236,S106,Delhi,P2253,18.0,21,4.82,5.29,Partner Late
O50237,S125,Mumbai,P2289,21.0,29,1.73,1.67,Store Delay
O50238,S113,Mumbai,P2096,33.0,42,4.63,4.89,Traffic
O50239,S109,Delhi,P2057,38.0,49,2.98,2.41,Store Delay
O50240,S127,Bangalore,P2252,23.0,52,0.61,0.5,Store Delay
O50241,S106,Delhi,P2135,20.0,48,5.66,5.77,Store Delay
O50242,S110,Bangalore,P2275,17.0,27,3.74,3.29,Partner Late
O50243,S125,Mumbai,P2026,21.0,19,0.91,0.9,
O50244,S118,Hyderabad,P2143,36.0,32,2.2,1.6,
O50245,S126,Delhi,P2103,27.0,30,1.63,1.73,Partner Late
O50246,S111,Bangalore,P2131,23.0,27,6.14,5.09,Store Delay
O50247,S114,Mumbai,P2173,28.0,37,6.2,4.84,Traffic
O50248,S117,Delhi,P2081,22.0,23,3.62,2.93,System Issue
O50249,S120,Delhi,P2117,18.0,26,0.63,0.49,Partner Late
O50250,S113,Mumbai,P2042,16.0,29,3.97,3.01,Traffic
O50251,S104,Hyderabad,P2246,,32,3.77,3.92,Store Delay
O50252,S125,Mumbai,P2024,35.0,33,7.21,5.92,
O50253,S121,Hyderabad,P2110,33.0,42,7.36,6.29,Traffic
O50254,S111,Bangalore,P2036,27.0,29,3.0,3.22,Store Delay
O50255,S100,Mumbai,P2082,39.0,40,3.5,2.79,Store Delay
O50256,S133,Delhi,P2127,37.0,52,6.01,6.04,Traffic
O50257,S137,Mumbai,P2040,16.0,15,7.36,7.23,
O50258,S106,Delhi,P2111,20.0,26,4.75,4.06,
O50259,S131,Delhi,P2048,25.0,30,2.86,2.67,Traffic
O50260,S104,Hyderabad,P2022,37.0,32,5.43,4.73,
O50261,S129,Delhi,P2200,34.0,39,1.4,1.11,Store Delay
O50262,S114,Mumbai,P2032,26.0,20,6.73,5.77,
O50263,S107,Mumbai,P2134,31.0,59,3.32,2.57,Traffic
O50264,S124,Hyderabad,P2066,26.0,32,4.05,3.98,Store Delay
O50265,S108,Mumbai,P2048,24.0,26,4.82,5.14,Partner Late
O50266,S131,Delhi,P2005,19.0,22,5.24,3.72,Traffic
O50267,S130,Mumbai,P2271,27.0,25,7.73,8.46,
O50268,S105,Delhi,P2272,28.0,31,2.76,2.09,Weather
O50269,S138,Delhi,P2048,20.0,43,6.47,5.91,Traffic
O50270,S110,Bangalore,P2152,34.0,39,6.2,5.94,Store Delay
O50271,S118,Hyderabad,P2278,16.0,10,2.67,2.37,
O50272,S101,Bangalore,P2297,17.0,25,4.47,4.65,Traffic
O50273,S128,Bangalore,P2262,18.0,22,1.47,1.52,Traffic
O50274,S110,Bangalore,P2227,27.0,22,6.29,6.04,
O50275,S115,Hyderabad,P2079,31.0,39,4.86,4.27,Traffic
O50276,S130,Mumbai,P2168,27.0,27,7.57,6.75,
O50277,S114,Mumbai,P2131,32.0,33,2.9,3.03,Traffic
O50278,S100,Mumbai,P2174,35.0,38,7.64,7.83,Partner Late
O50279,S102,Delhi,P2187,35.0,40,4.29,3.3,Store Delay
O50280,S104,Hyderabad,P2046,22.0,26,1.15,1.09,Store Delay
O50281,S139,Mumbai,P2130,30.0,28,4.48,4.3,
O50282,S105,Delhi,P2240,36.0,36,0.57,0.49,
O50283,S117,Delhi,P2210,15.0,18,0.68,0.5,Store Delay
O50284,S131,Delhi,P2181,37.0,56,1.61,1.31,Weather
O50285,S119,Mumbai,P2103,19.0,29,2.2,2.36,Store Delay
O50286,S133,Delhi,P2038,17.0,19,4.64,3.89,Partner Late
O50287,S112,Delhi,P2118,36.0,28,6.75,7.26,
O50288,S135,Bangalore,P2083,33.0,41,7.83,6.03,Traffic
O50289,S121,Hyderabad,P2272,19.0,11,6.53,5.64,
O50290,S121,Hyderabad,P2044,30.0,34,3.76,2.87,Store Delay
O50291,S104,Hyderabad,P2034,34.0,41,1.75,1.73,System Issue
O50292,S139,Mumbai,P2128,21.0,20,6.97,7.62,
O50293,S130,Mumbai,P2096,28.0,38,1.03,1.02,Traffic
O50294,S135,Bangalore,P2262,17.0,23,1.05,0.91,System Issue
O50295,S129,Delhi,P2147,19.0,18,3.85,3.25,
O50296,S135,Bangalore,P2229,22.0,15,3.68,3.81,
O50297,S107,Mumbai,P2222,21.0,21,2.63,2.01,
O50298,S100,Mumbai,P2050,18.0,14,6.52,5.76,
O50299,S119,Mumbai,P2052,21.0,18,2.64,2.89,
O50300,S110,Bangalore,P2057,30.0,42,0.72,0.78,Store Delay
O50301,S133,Delhi,P2108,31.0,29,2.56,2.57,
O50302,S128,Bangalore,P2234,26.0,35,7.19,7.12,Store Delay
O50303,S122,Mumbai,P2004,29.0,29,4.96,4.75,
O50304,S135,Bangalore,P2046,26.0,37,7.19,6.46,Traffic
O50305,S121,Hyderabad,P2044,24.0,32,3.61,3.44,System Issue
O50306,S112,Delhi,P2276,22.0,42,3.22,2.64,Traffic
O50307,S119,Mumbai,P2243,26.0,46,1.69,1.54,
O50308,S117,Delhi,P2214,18.0,38,2.79,2.26,Traffic
O50309,S112,Delhi,P2163,22.0,26,1.51,1.4,Traffic
O50310,S101,Bangalore,P2000,20.0,23,0.91,0.97,Store Delay
O50311,S121,Hyderabad,P2238,19.0,22,1.55,1.35,Store Delay
O50312,S108,Mumbai,P2094,37.0,50,1.11,0.78,Traffic
O50313,S115,Hyderabad,P2031,28.0,30,6.11,6.07,Traffic
O50314,S111,Bangalore,P2270,16.0,20,4.4,4.38,Traffic
O50315,S106,Delhi,P2017,33.0,33,3.85,2.73,
O50316,S101,Bangalore,P2228,24.0,48,4.91,3.92,Store Delay
O50317,S115,Hyderabad,P2132,30.0,46,7.42,5.8,
O50318,S124,Hyderabad,P2078,34.0,30,3.58,2.63,
O50319,S116,Mumbai,P2205,20.0,25,5.89,5.79,Store Delay
O50320,S119,Mumbai,P2153,29.0,36,5.14,4.09,
O50321,S115,Hyderabad,P2197,22.0,37,6.32,5.19,
O50322,S134,Delhi,P2074,19.0,20,7.42,7.32,Partner Late
O50323,S135,Bangalore,P2274,38.0,32,0.74,0.61,
O50324,S129,Delhi,P2074,24.0,47,7.78,5.88,Store Delay
O50325,S118,Hyderabad,P2153,15.0,18,2.21,1.75,Store Delay
O50326,S111,Bangalore,P2209,24.0,37,6.88,5.01,
O50327,S120,Delhi,P2146,30.0,33,0.68,0.65,Store Delay
O50328,S121,Hyderabad,P2252,31.0,30,3.05,3.2,
O50329,S126,Delhi,P2264,19.0,25,4.78,3.41,Store Delay
O50330,S121,Hyderabad,P2118,23.0,35,7.77,7.23,Partner Late
O50331,S111,Bangalore,P2101,21.0,22,2.32,2.25,Partner Late
O50332,S107,Mumbai,P2281,33.0,52,7.84,7.7,Store Delay
O50333,S132,Delhi,P2268,21.0,35,0.97,0.99,Store Delay
O50334,S103,Bangalore,P2067,39.0,40,1.12,0.89,Traffic
O50335,S136,Bangalore,P2074,30.0,30,7.33,7.96,
O50336,S124,Hyderabad,P2093,35.0,40,1.53,1.66,Store Delay
O50337,S121,Hyderabad,P2080,18.0,21,5.66,5.98,Partner Late
O50338,S109,Delhi,P2137,32.0,39,1.8,1.75,Traffic
O50339,S103,Bangalore,P2163,22.0,22,1.1,0.8,
O50340,S132,Delhi,P2204,39.0,45,1.61,1.68,Store Delay
O50341,S105,Delhi,P2025,36.0,56,3.82,3.58,Store Delay
O50342,S103,Bangalore,P2232,19.0,28,0.76,0.58,Traffic
O50343,S108,Mumbai,P2256,33.0,38,6.55,6.78,Partner Late
O50344,S130,Mumbai,P2223,27.0,27,2.17,1.99,
O50345,S109,Delhi,P2170,27.0,23,6.57,5.46,
O50346,S124,Hyderabad,P2025,28.0,35,2.05,1.78,Traffic
O50347,S124,Hyderabad,P2016,24.0,26,1.05,0.97,Traffic
O50348,S113,Mumbai,P2071,37.0,40,0.97,0.9,Weather
O50349,S128,Bangalore,P2096,17.0,21,3.08,2.55,Partner Late
O50350,S118,Hyderabad,P2125,35.0,37,1.14,1.03,Traffic
O50351,S118,Hyderabad,P2065,23.0,23,4.98,5.19,
O50352,S130,Mumbai,P2001,23.0,25,6.86,5.47,Traffic
O50353,S129,Delhi,P2298,32.0,39,3.65,2.67,Partner Late
O50354,S137,Mumbai,P2099,24.0,27,2.47,2.29,Weather
O50355,S139,Mumbai,P2138,21.0,27,7.93,6.97,Weather
O50356,S121,Hyderabad,P2044,19.0,30,6.97,5.48,Traffic
O50357,S111,Bangalore,P2180,38.0,36,0.97,0.84,
O50358,S104,Hyderabad,P2129,25.0,18,7.74,8.15,
O50359,S101,Bangalore,P2138,24.0,34,3.88,3.62,Weather
O50360,S133,Delhi,P2118,21.0,28,6.0,5.43,Traffic
O50361,S123,Delhi,P2019,26.0,26,2.44,2.0,
O50362,S136,Bangalore,P2293,32.0,48,4.29,3.44,Store Delay
O50363,S123,Delhi,P2094,18.0,15,0.96,0.72,
O50364,S103,Bangalore,P2022,38.0,40,5.98,4.44,Traffic
O50365,S131,Delhi,P2239,27.0,33,7.6,7.11,Traffic
O50366,S102,Delhi,P2001,34.0,38,1.77,1.45,Store Delay
O50367,S104,Hyderabad,P2161,21.0,22,7.85,6.24,Partner Late
O50368,S105,Delhi,P2216,29.0,28,4.7,4.02,
O50369,S134,Delhi,P2114,35.0,35,7.47,7.83,
O50370,S116,Mumbai,P2154,38.0,34,1.31,1.2,
O50371,S117,Delhi,P2041,23.0,32,0.79,0.65,Partner Late
O50372,S117,Delhi,P2039,39.0,44,6.79,5.66,Store Delay
O50373,S100,Mumbai,P2210,35.0,35,2.66,2.25,
O50374,S111,Bangalore,P2224,32.0,29,6.27,5.07,
O50375,S111,Bangalore,P2109,30.0,42,4.9,4.13,Traffic
O50376,S104,Hyderabad,P2021,15.0,17,4.41,4.35,Traffic
O50377,S132,Delhi,P2203,24.0,21,0.77,0.84,
O50378,S117,Delhi,P2014,38.0,30,1.05,1.03,
O50379,S105,Delhi,P2285,31.0,40,3.9,4.0,System Issue
O50380,S117,Delhi,P2088,15.0,25,4.28,4.37,System Issue
O50381,S128,Bangalore,P2271,39.0,48,6.38,5.73,System Issue
O50382,S120,Delhi,P2139,16.0,14,3.58,3.53,
O50383,S106,Delhi,P2115,28.0,34,6.14,5.07,Store Delay
O50384,S120,Delhi,P2020,19.0,40,4.73,4.22,Store Delay
O50385,S124,Hyderabad,P2159,18.0,30,1.52,1.42,Traffic
O50386,S107,Mumbai,P2273,,26,6.51,6.18,Traffic
O50387,S135,Bangalore,P2126,27.0,33,0.51,0.39,Partner Late
O50388,S132,Delhi,P2082,23.0,33,5.73,5.13,Partner Late
O50389,S104,Hyderabad,P2012,22.0,27,1.33,1.06,Traffic
O50390,S122,Mumbai,P2089,27.0,21,6.74,5.44,
O50391,S137,Mumbai,P2083,23.0,23,4.62,4.59,
O50392,S105,Delhi,P2116,23.0,16,6.52,5.94,
O50393,S119,Mumbai,P2145,33.0,44,3.78,3.2,System Issue
O50394,S119,Mumbai,P2019,21.0,15,6.19,4.41,
O50395,S116,Mumbai,P2275,28.0,30,6.1,4.54,Traffic
O50396,S131,Delhi,P2075,22.0,24,1.45,1.05,Store Delay
O50397,S121,Hyderabad,P2256,37.0,40,3.53,3.26,Partner Late
O50398,S117,Delhi,P2062,38.0,49,2.3,2.41,Traffic
O50399,S122,Mumbai,P2237,27.0,33,2.8,1.97,Weather
O50400,S108,Mumbai,P2259,33.0,29,2.37,1.68,
