order_id,partner_id,base_pay,incentive,earning,late_penalty,complaint_raised,complaint_reason
O50182,P2217,25,0,131.69,0,Yes,Wrong Order
O50183,P2243,40,0,84.97,0,No,
O50184,P2273,35,50,121.16,20,No,
O50185,P2136,35,10,53.47,0,No,
O50186,P2167,25,50,138.52,0,Yes,Wrong Order
O50187,P2087,25,0,71.98,10,No,
O50188,P2077,30,0,68.39,0,No,
O50189,P2116,30,0,60.980000000000004,10,No,
O50190,P2145,25,10,49.35,0,No,
O50191,P2094,40,0,53.87,0,Yes,Rude Behavior
O50192,P2261,35,0,43.83,10,No,
O50193,P2292,25,20,74.81,20,No,
O50194,P2024,35,20,84.56,0,No,
O50195,P2019,40,20,117.05,0,Yes,
O50196,P2262,40,0,105.66,0,No,
O50197,P2069,25,0,37.59,10,No,
O50198,P2071,40,50,90.04,20,Yes,Rude Behavior
O50199,P2189,30,20,115.53,0,No,
O50200,P2218,35,10,116.96,0,No,
O50201,P2028,40,10,55.04,0,Yes,Late Delivery
O50202,P2222,25,10,45.04,0,No,
O50203,P2008,35,0,109.17,0,No,
O50204,P2284,40,10,103.73,20,Yes,No Show
O50205,P2097,35,10,160.19,0,No,
O50206,P2009,30,10,73.98,0,No,
O50207,P2264,35,10,99.5,0,Yes,Late Delivery
O50208,P2077,25,0,48.25,0,No,
O50209,P2060,35,20,101.15,10,No,
O50210,P2008,40,0,95.99,0,No,
O50211,P2147,35,10,97.75,0,Yes,No Show
O50212,P2044,35,0,63.93000000000001,10,No,
O50213,P2037,25,10,49.63,0,No,
O50214,P2141,30,50,99.43,0,No,
O50215,P2072,25,50,99.89,0,No,
O50216,P2214,40,10,70.88,0,Yes,Late Delivery
O50217,P2277,35,0,38.84,10,No,
O50218,P2234,25,50,69.53,20,Yes,Late Delivery
O50219,P2075,35,50,114.1,10,No,
O50220,P2214,40,0,62.120000000000005,20,No,
O50221,P2272,25,10,71.88,20,Yes,
O50222,P2156,40,0,89.61,0,No,
O50223,P2128,40,10,96.72,0,No,
O50224,P2030,25,10,126.04,0,No,
O50225,P2037,40,0,58.05,0,No,
O50226,P2116,35,20,74.01,0,No,
O50227,P2255,35,10,116.99,0,Yes,Rude Behavior
O50228,P2080,35,10,123.52,0,No,
O50229,P2247,35,10,69.23,0,No,
O50230,P2062,25,0,62.16,0,No,
O50231,P2278,25,50,113.08000000000001,20,No,
O50232,P2115,35,50,124.14,0,No,
O50233,P2217,35,0,65.36,10,Yes,
O50234,P2233,40,10,100.45,0,No,
O50235,P2207,35,20,111.38,0,No,
O50236,P2253,25,50,109.71,10,No,
O50237,P2289,25,0,42.64,0,No,
O50238,P2096,40,10,100.33,10,Yes,Late Delivery
O50239,P2057,35,0,46.900000000000006,20,No,
O50240,P2252,40,50,75.16,20,No,
O50241,P2135,30,10,77.01,20,No,
O50242,P2275,40,10,68.44,10,No,
O50243,P2026,25,0,36.08,0,No,
O50244,P2143,30,10,60.27,0,No,
O50245,P2103,25,0,37.52,10,No,
O50246,P2131,40,10,88.83,10,No,
O50247,P2173,35,10,94.92,0,No,
O50248,P2081,25,0,39.2,20,Yes,No Show
O50249,P2117,30,0,28.270000000000003,10,Yes,Rude Behavior
O50250,P2042,35,10,60.239999999999995,20,No,
O50251,P2246,40,20,116.87,0,No,
O50252,P2024,40,0,139.39,0,No,
O50253,P2110,30,0,136.3,0,No,
O50254,P2036,30,10,74.13,0,No,
O50255,P2082,25,0,56.88,0,No,
O50256,P2127,40,10,122.95,0,No,
O50257,P2040,40,20,127.98,0,No,
O50258,P2111,25,0,74.46,0,No,
O50259,P2048,35,0,65.54,0,No,
O50260,P2022,35,0,98.49,0,No,
O50261,P2200,40,10,55.89,10,No,
O50262,P2032,25,10,101.45,0,No,
O50263,P2134,40,0,54.47,20,No,
O50264,P2066,25,10,71.88,0,No,
O50265,P2048,25,50,112.86000000000001,20,No,
O50266,P2005,35,0,72.37,10,Yes,Rude Behavior
O50267,P2271,35,0,114.39,0,No,
O50268,P2272,35,10,62.849999999999994,10,No,
O50269,P2048,25,10,128.32,0,No,
O50270,P2152,25,0,86.52,20,No,
O50271,P2278,25,0,49.31,0,No,
O50272,P2297,35,0,62.629999999999995,20,Yes,Late Delivery
O50273,P2262,35,20,59.81,10,No,
O50274,P2227,30,20,105.07,0,No,
O50275,P2079,35,0,75.67,10,No,
O50276,P2168,35,0,142.69,0,No,
O50277,P2131,25,50,103.9,10,Yes,Late Delivery
O50278,P2174,35,20,152.74,10,No,
O50279,P2187,25,0,67.68,10,No,
O50280,P2046,30,20,54.06,10,No,
O50281,P2130,25,10,90.97,0,No,
O50282,P2240,30,50,87.73,0,Yes,Rude Behavior
O50283,P2210,25,20,33.55,20,No,
O50284,P2181,30,10,62.77,0,No,
O50285,P2103,25,10,54.99,0,No,
O50286,P2038,30,0,50.790000000000006,20,No,
O50287,P2118,25,0,81.99,0,Yes,Wrong Order
O50288,P2083,35,0,140.7,0,No,
O50289,P2272,40,50,184.09,0,No,
O50290,P2044,30,0,68.12,10,No,
O50291,P2034,30,10,56.89,0,No,
O50292,P2128,30,0,129.91,0,No,
O50293,P2096,25,10,44.33,0,No,
O50294,P2262,40,0,43.26,10,Yes,Late Delivery
O50295,P2147,30,0,77.11,0,No,
O50296,P2229,25,20,90.18,0,No,
O50297,P2222,30,10,58.97,0,No,
O50298,P2050,25,0,94.51,0,No,
O50299,P2052,25,0,48.15,0,No,
O50300,P2057,25,10,31.700000000000003,10,No,
O50301,P2108,40,10,84.31,0,No,
O50302,P2234,40,10,146.46,10,No,
O50303,P2004,30,10,104.29,0,No,
O50304,P2046,30,0,104.93,10,No,
O50305,P2044,25,0,47.980000000000004,20,No,
O50306,P2276,30,10,71.88,10,Yes,Rude Behavior
O50307,P2243,40,20,60.19,20,No,
O50308,P2214,25,20,60.790000000000006,10,No,
O50309,P2163,40,10,47.81999999999999,20,Yes,Rude Behavior
O50310,P2000,25,50,74.99,10,No,
O50311,P2238,35,10,42.71,20,No,
O50312,P2094,40,50,94.8,10,No,
O50313,P2031,25,0,83.43,0,No,
O50314,P2270,35,0,91.18,0,No,
O50315,P2017,30,0,67.84,0,No,
O50316,P2228,35,10,72.79,20,No,
O50317,P2132,35,20,123.85,10,No,
O50318,P2078,35,10,81.38,0,No,
O50319,P2205,40,10,108.28,0,No,
O50320,P2153,35,50,106.83,20,No,
O50321,P2197,35,10,102.7,10,No,
O50322,P2074,40,50,169.41,0,No,
O50323,P2274,35,20,63.43,0,No,
O50324,P2074,40,0,79.27,20,No,
O50325,P2153,35,20,74.15,0,Yes,Rude Behavior
O50326,P2209,30,50,150.26,0,No,
O50327,P2146,40,0,26.130000000000003,20,No,
O50328,P2252,25,50,108.72,0,Yes,Rude Behavior
O50329,P2264,40,10,91.24,10,No,
O50330,P2118,25,20,143.66,20,No,
O50331,P2101,35,0,61.9,0,Yes,Late Delivery
O50332,P2281,40,20,169.49,0,No,
O50333,P2268,30,50,75.39,20,No,
O50334,P2067,40,0,55.75,0,Yes,Late Delivery
O50335,P2074,40,10,131.51,0,No,
O50336,P2093,25,20,60.74,0,No,
O50337,P2080,35,0,109.71,10,No,
O50338,P2137,25,10,36.14,20,No,
O50339,P2163,35,0,45.72,0,No,
O50340,P2204,25,10,47.93,10,No,
O50341,P2025,25,0,80.92,0,No,
O50342,P2232,30,10,39.28,10,No,
O50343,P2256,30,10,74.59,20,No,
O50344,P2223,30,0,57.49,0,Yes,Rude Behavior
O50345,P2170,30,0,114.42,0,No,
O50346,P2025,25,0,36.84,10,No,
O50347,P2016,40,0,55.66,0,No,
O50348,P2071,30,0,39.98,0,Yes,No Show
O50349,P2096,35,0,49.92,10,No,
O50350,P2125,35,0,49.02,0,Yes,Late Delivery
O50351,P2065,30,10,85.43,0,No,
O50352,P2001,25,20,92.59,20,No,
O50353,P2298,35,50,95.75,20,No,
O50354,P2099,30,0,42.48,20,No,
O50355,P2138,30,0,107.45,10,No,
O50356,P2044,35,50,150.12,0,No,
O50357,P2180,30,0,38.15,0,No,
O50358,P2129,40,10,145.26,0,No,
O50359,P2138,25,20,72.55,10,No,
O50360,P2118,40,10,121.91,0,No,
O50361,P2019,30,20,71.57,0,No,
O50362,P2293,30,20,90.51,10,No,
O50363,P2094,35,50,93.0,0,No,
O50364,P2022,30,10,95.8,0,No,
O50365,P2239,30,20,154.63,10,No,
O50366,P2001,25,20,63.71,0,No,
O50367,P2161,25,10,79.17,20,No,
O50368,P2216,25,50,113.68,0,No,
O50369,P2114,35,20,159.39,0,No,
O50370,P2154,30,50,92.53,0,Yes,
O50371,P2041,30,0,40.42,0,No,
O50372,P2039,35,0,101.54,10,No,
O50373,P2210,25,0,61.54,0,No,
O50374,P2224,40,0,113.82,0,No,
O50375,P2109,25,20,91.72,10,No,
O50376,P2021,25,20,92.91,20,No,
O50377,P2203,30,50,87.62,0,No,
O50378,P2014,30,0,45.31,0,No,
O50379,P2285,40,0,72.11,10,No,
O50380,P2088,35,20,114.56,0,No,
O50381,P2271,thirty,20,123.06,10,No,
O50382,P2139,25,0,56.17,0,No,
O50383,P2115,35,10,133.38,0,Yes,Rude Behavior
O50384,P2020,30,10,86.85,10,No,
O50385,P2159,thirty,0,50.71,0,No,
O50386,P2273,25,20,106.84,0,No,
O50387,P2126,35,0,28.65,10,No,
O50388,P2082,25,50,138.13,0,No,
O50389,P2012,40,0,56.05,0,No,
O50390,P2089,25,20,140.48,0,Yes,Rude Behavior
O50391,P2083,35,10,91.2,0,No,
O50392,P2116,30,20,,0,No,
O50393,P2145,40,20,114.96,0,No,
O50394,P2019,35,0,102.95,0,No,
O50395,P2275,35,20,127.94,10,No,
O50396,P2075,35,10,58.56,0,No,
O50397,P2256,40,0,74.03,20,No,
O50398,P2062,25,0,41.52,20,No,
O50399,P2237,35,20,66.48,20,Yes,Late Delivery
O50400,P2259,30,10,64.72,0,No,
O50401,P2193,40,0,104.61,0,No,
O50402,P2080,25,20,66.79,0,No,
O50403,P2191,25,0,82.74,0,Yes,Late Delivery
O50404,P2230,40,0,36.08,20,No,
O50405,P2219,35,0,88.94,10,No,
O50406,P2085,40,50,153.33,10,No,
O50407,P2184,40,10,96.33,0,No,
O50408,P2142,35,20,119.78,20,No,
O50409,P2276,25,50,97.24,0,No,
O50410,P2127,35,50,170.28,0,Yes,Late Delivery
O50411,P2047,30,0,88.18,10,Yes,Wrong Order
O50412,P2140,40,10,140.68,0,No,
O50413,P2159,30,10,87.58,20,No,
O50414,P2028,30,10,89.81,0,Yes,Late Delivery
O50415,P2102,40,10,57.1,0,No,
O50416,P2216,35,10,115.35,0,Yes,No Show
O50417,P2093,35,10,108.87,0,No,
O50418,P2232,35,0,21.299999999999997,20,No,
O50419,P2212,35,10,105.88,0,No,
O50420,P2000,35,0,58.06999999999999,10,No,
O50421,P2152,25,0,54.58,0,No,
O50422,P2196,35,10,98.87,10,No,
O50423,P2115,35,20,143.82,0,No,
O50424,P2224,30,0,47.85,10,No,
O50425,P2005,40,0,57.33,10,No,
O50426,P2171,35,10,66.66,10,No,
O50427,P2279,35,20,68.86,0,No,
O50428,P2104,25,0,90.83,0,No,
O50429,P2242,35,10,68.36,0,No,
O50430,P2256,30,0,72.22,0,Yes,
O50431,P2284,40,50,138.22,0,No,
O50432,P2028,25,0,45.15,0,No,
O50433,P2030,40,0,110.94,0,No,
O50434,P2056,25,50,158.76,10,No,
O50435,P2027,35,0,51.45,0,No,
O50436,P2254,40,20,157.5,0,No,
O50437,P2180,40,0,89.62,0,Yes,Late Delivery
O50438,P2271,40,0,77.76,0,No,
O50439,P2165,35,20,97.3,0,Yes,Late Delivery
O50440,P2090,25,50,117.41,0,No,
O50441,P2200,35,20,88.89,0,No,
O50442,P2112,40,0,57.98,0,No,
O50443,P2080,40,50,134.22,20,No,
O50444,P2232,40,50,177.31,0,Yes,Wrong Order
O50445,P2076,35,10,95.72,0,No,
O50446,P2178,30,0,62.27,0,No,
O50447,P2014,25,20,94.56,20,No,
O50448,P2257,30,10,76.26,0,No,
O50449,P2099,25,0,61.34,0,No,
O50450,P2147,40,10,92.0,10,Yes,Wrong Order
O50451,P2128,30,0,49.63,0,No,
O50452,P2230,30,50,86.14,20,No,
O50453,P2123,40,10,69.64,10,No,
O50454,P2225,40,20,126.44,0,No,
O50455,P2187,40,0,53.05,20,No,
O50456,P2218,25,10,48.65,10,Yes,Wrong Order
O50457,P2090,40,10,87.74,20,No,
O50458,P2177,35,20,130.03,0,No,
O50459,P2213,25,20,54.02,0,Yes,No Show
O50460,P2215,40,20,159.03,0,Yes,Rude Behavior
O50461,P2260,30,0,95.83,0,No,
O50462,P2210,40,0,88.7,10,No,
O50463,P2005,40,0,91.98,0,No,
O50464,P2016,25,20,84.97,10,No,
O50465,P2043,thirty,0,88.67,10,No,
O50466,P2209,35,0,37.48,20,No,
O50467,P2137,25,20,89.16,0,No,
O50468,P2088,35,0,62.69,0,No,
O50469,P2090,25,20,29.71,20,Yes,Wrong Order
O50470,P2266,40,10,96.75,20,No,
O50471,P2138,35,20,115.84,0,No,
O50472,P2184,35,0,114.04,0,No,
O50473,P2082,30,0,83.65,0,Yes,Wrong Order
O50474,P2155,40,10,65.51,0,No,
O50475,P2186,40,0,86.27,0,No,
O50476,P2273,35,0,91.16,20,No,
O50477,P2206,35,10,67.65,10,Yes,Wrong Order
O50478,P2186,35,0,62.129999999999995,10,No,
O50479,P2028,40,0,76.0,0,No,
O50480,P2057,25,10,72.94,0,No,
O50481,P2211,30,20,102.26,0,No,
O50482,P2283,25,10,101.58,0,No,
O50483,P2095,35,0,47.49,0,No,
O50484,P2011,35,0,63.83,0,Yes,Late Delivery
O50485,P2265,30,0,110.19,0,No,
O50486,P2159,25,50,103.22,0,No,
O50487,P2071,30,50,108.9,0,Yes,Wrong Order
O50488,P2020,25,10,74.33,0,No,
O50489,P2166,35,0,42.45,0,Yes,Wrong Order
O50490,P2053,25,0,95.05,20,No,
O50491,P2090,25,0,83.64,0,No,
O50492,P2043,30,0,87.29,0,Yes,Rude Behavior
O50493,P2003,35,0,73.29,0,No,
O50494,P2264,25,20,78.76,0,No,
O50495,P2184,40,0,87.89,10,No,
O50496,P2072,25,10,129.98,10,No,
O50497,P2251,25,10,64.15,0,No,
O50498,P2173,25,0,95.86,0,No,
O50499,P2055,25,10,87.82,0,No,
O50500,P2152,25,10,43.45,0,No,
O50501,P2251,25,50,103.07,0,No,
O50502,P2066,40,50,130.91,0,No,
O50503,P2250,40,20,126.37,0,No,
O50504,P2174,40,10,121.11000000000001,10,No,
O50505,P2078,40,0,82.42,0,No,
O50506,P2278,30,0,50.27,10,No,
O50507,P2192,30,50,91.86,0,No,
O50508,P2138,30,20,157.34,0,Yes,Late Delivery
O50509,P2260,40,0,122.38,0,No,
O50510,P2223,25,0,111.63,20,No,
O50511,P2279,30,10,49.56,0,No,
O50512,P2124,25,0,77.48,10,No,
O50513,P2193,25,10,85.76,0,No,
O50514,P2193,40,50,156.41,0,No,
O50515,P2131,40,0,63.3,0,No,
O50516,P2233,25,20,110.25,0,No,
O50517,P2106,35,10,117.35,10,No,
O50518,P2135,25,0,54.91,10,No,
O50519,P2052,25,0,31.79,20,No,
O50520,P2048,30,20,86.81,0,Yes,Rude Behavior
O50521,P2273,40,20,131.05,0,No,
O50522,P2061,40,0,64.09,0,Yes,Late Delivery
O50523,P2106,25,20,55.14,0,Yes,Late Delivery
O50524,P2199,25,10,93.2,0,No,
O50525,P2188,30,10,36.09,10,No,
O50526,P2199,35,0,150.73,0,No,
O50527,P2146,40,0,104.23,0,No,
O50528,P2072,25,10,83.39,0,No,
O50529,P2115,40,50,139.48,10,No,
O50530,P2144,40,0,65.76,20,No,
O50531,P2153,40,50,139.93,0,No,
O50532,P2230,30,10,135.6,20,No,
O50533,P2101,40,10,104.68,0,No,
O50534,P2068,25,10,25.04,20,No,
O50535,P2149,25,0,54.77,0,No,
O50536,P2252,40,10,104.88,0,Yes,Wrong Order
O50537,P2012,35,0,38.24,10,Yes,Rude Behavior
O50538,P2227,40,10,119.59,20,No,
O50539,P2117,35,0,43.09,0,No,
O50540,P2152,30,0,49.86,0,No,
O50541,P2231,25,10,77.74,10,No,
O50542,P2298,35,0,104.31,20,Yes,Rude Behavior
O50543,P2010,30,0,80.95,0,No,
O50544,P2136,25,20,68.47,0,No,
O50545,P2209,40,0,80.26,10,No,
O50546,P2019,40,10,127.35,0,Yes,
O50547,P2119,25,50,126.8,0,No,
O50548,P2189,25,0,34.69,0,No,
O50549,P2240,25,0,40.28,10,No,
O50550,P2020,25,0,26.130000000000003,20,No,
O50551,P2252,35,10,76.59,0,No,
O50552,P2159,30,20,139.67,0,No,
O50553,P2226,30,0,97.4,0,No,
O50554,P2189,30,10,69.24,0,Yes,No Show
O50555,P2130,30,0,139.72,0,No,
O50556,P2001,25,0,81.6,10,No,
O50557,P2144,40,20,120.86000000000001,20,No,
O50558,P2245,40,0,66.73,10,No,
O50559,P2257,35,10,69.21,0,No,
O50560,P2133,25,0,13.54,20,No,
O50561,P2001,40,0,134.19,10,No,
O50562,P2268,30,0,84.14,0,No,
O50563,P2165,40,50,161.71,0,No,
O50564,P2145,40,0,127.25,0,Yes,Late Delivery
O50565,P2119,35,10,64.43,10,No,
O50566,P2173,40,0,47.760000000000005,20,No,
O50567,P2039,40,0,103.33,0,No,
O50568,P2008,30,0,40.11,0,Yes,Late Delivery
O50569,P2001,30,0,63.52,0,No,
O50570,P2201,30,10,48.29,0,No,
O50571,P2146,40,0,60.43000000000001,20,No,
O50572,P2051,25,50,153.83,0,Yes,
O50573,P2004,40,50,144.51,20,No,
O50574,P2114,35,0,96.5,0,Yes,Rude Behavior
O50575,P2093,40,0,78.17,0,No,
O50576,P2279,35,20,94.39,10,No,
O50577,P2136,40,0,93.28,10,No,
O50578,P2201,25,0,54.629999999999995,20,No,
O50579,P2029,40,0,81.22,0,No,
O50580,P2280,30,10,63.74,0,No,
O50581,P2029,40,10,102.1,0,No,
O50582,P2089,35,0,88.52,10,No,
O50583,P2244,35,20,109.65,10,No,
O50584,P2010,25,0,49.26,10,No,
O50585,P2169,40,0,62.31,0,No,
O50586,P2103,30,10,86.09,10,No,
O50587,P2114,40,0,149.05,0,No,
O50588,P2287,35,0,78.89,0,No,
O50589,P2010,40,20,99.41,0,No,
O50590,P2135,30,0,101.11,0,No,
O50591,P2243,40,50,172.53,0,Yes,Rude Behavior
O50592,P2242,25,10,131.84,0,No,
O50593,P2166,40,10,86.8,10,No,
O50594,P2150,40,50,123.63,0,No,
O50595,P2097,40,20,126.76,0,Yes,Wrong Order
O50596,P2217,25,0,61.24,0,No,
O50597,P2292,30,0,24.04,10,No,
O50598,P2065,35,10,70.15,20,No,
O50599,P2256,35,20,67.11,20,No,
O50600,P2010,40,10,127.81,0,No,
O50601,P2189,40,20,87.15,0,No,
O50602,P2144,25,0,63.31999999999999,10,No,
O50603,P2119,30,10,109.37,0,No,
O50604,P2021,35,0,36.37,10,No,
O50605,P2253,40,10,133.0,0,No,
O50606,P2103,40,0,55.61,0,No,
O50607,P2242,35,0,39.02,10,No,
O50608,P2120,30,50,98.05,0,No,
O50609,P2247,25,20,101.33,0,No,
O50610,P2195,25,0,74.54,0,No,
O50611,P2193,40,10,67.65,0,No,
O50612,P2094,25,20,70.79,0,No,
O50613,P2092,35,0,82.93,20,No,
O50614,P2267,30,0,61.11,0,Yes,Rude Behavior
O50615,P2263,35,50,147.74,0,No,
